url,http://datalab.naver.com/keyword/trendResult.naver?hashKey=N_a322a005d41402d415ee4d060a1f4f5a,,
주제,통검,,
범위,합계,,
기간,일간 : 2019-12-12 ~ 2020-12-12,,
성별,"전체(여성,남성)",,
연령대,"25~29, 30~34, 35~39",,
날짜,캠핑,날짜,텐트
2020-08-07,25.71277,2020-08-07,31.86378
2020-08-08,27.28352,2020-08-08,32.61615
2020-08-09,31.0586,2020-08-09,41.03748
2020-08-10,30.04223,2020-08-10,34.87328
2020-08-11,29.11826,2020-08-11,31.25659
2020-08-12,27.70591,2020-08-12,31.45459
2020-08-13,27.8643,2020-08-13,26.64994
2020-08-14,28.37909,2020-08-14,24.736
2020-08-15,26.13516,2020-08-15,32.36536
2020-08-16,29.59345,2020-08-16,42.25184
2020-08-17,29.63305,2020-08-17,47.94086
2020-08-18,26.37275,2020-08-18,39.46673
2020-08-19,26.84794,2020-08-19,31.67898
2020-08-20,23.28405,2020-08-20,28.92027
2020-08-21,25.09239,2020-08-21,25.40918
2020-08-22,24.9208,2020-08-22,31.49419
2020-08-23,27.52111,2020-08-23,43.17581
2020-08-24,27.56071,2020-08-24,36.98521
2020-08-25,23.23125,2020-08-25,30.12143
2020-08-26,20.80253,2020-08-26,26.00316
2020-08-27,22.32048,2020-08-27,25.46198
2020-08-28,22.42608,2020-08-28,21.91129
2020-08-29,23.94403,2020-08-29,28.15469
2020-08-30,27.04593,2020-08-30,38.74076
2020-08-31,26.47835,2020-08-31,34.67529
2020-09-01,25.22439,2020-09-01,30.50422
2020-09-02,23.21805,2020-09-02,28.73548
2020-09-03,25.76557,2020-09-03,25.22439
2020-09-04,29.96304,2020-09-04,28.70908
2020-09-05,29.30306,2020-09-05,36.90601
2020-09-06,33.05174,2020-09-06,48.13885
2020-09-07,29.51425,2020-09-07,38.64836
2020-09-08,32.16737,2020-09-08,34.93928
2020-09-09,29.72544,2020-09-09,32.51055
2020-09-10,31.1774,2020-09-10,30.47782
2020-09-11,29.64625,2020-09-11,26.46515
2020-09-12,30.74181,2020-09-12,34.55649
2020-09-13,39.03115,2020-09-13,59.76768
2020-09-14,39.41393,2020-09-14,50.50158
2020-09-15,35.50686,2020-09-15,40.4435
2020-09-16,31.69218,2020-09-16,34.86008
2020-09-17,30.17423,2020-09-17,31.36219
2020-09-18,32.20696,2020-09-18,27.04593
2020-09-19,31.65258,2020-09-19,40.3247
2020-09-20,39.84952,2020-09-20,67.44984
2020-09-21,42.43664,2020-09-21,52.79831
2020-09-22,38.05438,2020-09-22,41.22228
2020-09-23,33.22333,2020-09-23,36.95881
2020-09-24,31.78458,2020-09-24,39.13674
2020-09-25,31.65258,2020-09-25,29.19746
2020-09-26,36.54963,2020-09-26,43.03062
2020-09-27,46.99049,2020-09-27,63.68796
2020-09-28,39.83632,2020-09-28,44.32418
2020-09-29,33.47412,2020-09-29,30.27983
2020-09-30,31.54699,2020-09-30,33.80411
2020-10-01,36.43083,2020-10-01,41.63146
2020-10-02,41.01108,2020-10-02,53.64308
2020-10-03,43.12302,2020-10-03,65.25871
2020-10-04,52.9435,2020-10-04,77.32312
2020-10-05,49.60401,2020-10-05,57.32576
2020-10-06,41.51267,2020-10-06,44.35058
2020-10-07,38.63516,2020-10-07,36.95881
2020-10-08,38.38437,2020-10-08,33.06494
2020-10-09,38.55596,2020-10-09,43.29461
2020-10-10,34.80728,2020-10-10,51.99313
2020-10-11,45.15575,2020-10-11,68.20221
2020-10-12,41.75026,2020-10-12,51.64994
2020-10-13,36.97201,2020-10-13,38.79355
2020-10-14,37.84318,2020-10-14,35.07127
2020-10-15,31.96937,2020-10-15,28.47148
2020-10-16,29.64625,2020-10-16,25.80517
2020-10-17,29.54065,2020-10-17,34.53009
2020-10-18,38.92555,2020-10-18,54.31626
2020-10-19,39.67793,2020-10-19,45.20855
2020-10-20,34.01531,2020-10-20,35.16367
2020-10-21,33.87011,2020-10-21,30.86061
